distrito,ano,semana,casos_notificados,semana_epidemiologica
ANCON,2021,22,1,2021-SE22
ANCON,2022,15,1,2022-SE15
ANCON,2023,11,2,2023-SE11
ANCON,2023,13,5,2023-SE13
ANCON,2023,14,13,2023-SE14
ANCON,2023,15,14,2023-SE15
ANCON,2023,16,18,2023-SE16
ANCON,2023,17,26,2023-SE17
ANCON,2023,18,44,2023-SE18
ANCON,2023,19,59,2023-SE19
ANCON,2023,20,53,2023-SE20
ANCON,2023,21,68,2023-SE21
ANCON,2023,22,54,2023-SE22
ANCON,2023,23,42,2023-SE23
ANCON,2023,24,31,2023-SE24
ANCON,2023,25,40,2023-SE25
ANCON,2023,26,20,2023-SE26
ANCON,2023,27,21,2023-SE27
ANCON,2023,28,20,2023-SE28
ANCON,2023,29,10,2023-SE29
ANCON,2023,30,10,2023-SE30
ANCON,2023,31,8,2023-SE31
ANCON,2023,32,5,2023-SE32
ANCON,2023,34,3,2023-SE34
ANCON,2023,35,7,2023-SE35
ANCON,2023,36,1,2023-SE36
ANCON,2023,37,2,2023-SE37
ANCON,2023,39,3,2023-SE39
ANCON,2023,41,1,2023-SE41
ANCON,2023,48,1,2023-SE48
ANCON,2023,51,1,2023-SE51
ANCON,2024,3,1,2024-SE03
ANCON,2024,7,1,2024-SE07
ANCON,2024,8,6,2024-SE08
ANCON,2024,9,3,2024-SE09
ANCON,2024,10,5,2024-SE10
ANCON,2024,11,4,2024-SE11
ANCON,2024,12,11,2024-SE12
ANCON,2024,13,16,2024-SE13
ANCON,2024,14,34,2024-SE14
ANCON,2024,15,47,2024-SE15
ANCON,2024,16,58,2024-SE16
ANCON,2024,17,34,2024-SE17
ANCON,2024,18,37,2024-SE18
ANCON,2024,19,36,2024-SE19
ANCON,2024,20,23,2024-SE20
ANCON,2024,21,14,2024-SE21
ANCON,2024,22,8,2024-SE22
ANCON,2024,23,3,2024-SE23
ANCON,2024,24,1,2024-SE24
ANCON,2024,25,3,2024-SE25
ANCON,2024,26,1,2024-SE26
ANCON,2024,27,3,2024-SE27
ANCON,2024,28,1,2024-SE28
ANCON,2024,29,1,2024-SE29
ASIA,2023,13,1,2023-SE13
ASIA,2023,15,1,2023-SE15
ASIA,2023,16,3,2023-SE16
ASIA,2023,17,1,2023-SE17
ASIA,2023,19,1,2023-SE19
ASIA,2023,20,11,2023-SE20
ASIA,2023,21,1,2023-SE21
ASIA,2023,22,3,2023-SE22
ASIA,2023,23,3,2023-SE23
ASIA,2023,24,3,2023-SE24
ASIA,2023,25,5,2023-SE25
ASIA,2023,26,1,2023-SE26
ASIA,2023,27,1,2023-SE27
ASIA,2024,9,2,2024-SE09
ASIA,2024,10,1,2024-SE10
ASIA,2024,11,2,2024-SE11
ASIA,2024,13,1,2024-SE13
ASIA,2024,14,2,2024-SE14
ASIA,2024,15,1,2024-SE15
ASIA,2024,16,6,2024-SE16
ASIA,2024,17,5,2024-SE17
ASIA,2024,18,1,2024-SE18
ASIA,2024,22,1,2024-SE22
ASIA,2024,24,1,2024-SE24
ATE,2005,15,4,2005-SE15
ATE,2005,16,7,2005-SE16
ATE,2005,17,2,2005-SE17
ATE,2005,18,1,2005-SE18
ATE,2005,19,1,2005-SE19
ATE,2005,20,2,2005-SE20
ATE,2005,21,1,2005-SE21
ATE,2005,25,1,2005-SE25
ATE,2005,26,1,2005-SE26
ATE,2005,28,1,2005-SE28
ATE,2005,32,1,2005-SE32
ATE,2006,44,1,2006-SE44
ATE,2016,4,1,2016-SE04
ATE,2017,14,1,2017-SE14
ATE,2017,16,1,2017-SE16
ATE,2017,17,1,2017-SE17
ATE,2017,19,2,2017-SE19
ATE,2017,20,2,2017-SE20
ATE,2017,21,1,2017-SE21
ATE,2020,10,1,2020-SE10
ATE,2020,15,1,2020-SE15
ATE,2020,16,2,2020-SE16
ATE,2020,17,2,2020-SE17
ATE,2020,18,7,2020-SE18
ATE,2020,19,8,2020-SE19
ATE,2020,20,4,2020-SE20
ATE,2020,53,1,2020-SE53
ATE,2021,12,4,2021-SE12
ATE,2021,13,1,2021-SE13
ATE,2021,14,5,2021-SE14
ATE,2021,15,12,2021-SE15
ATE,2021,16,9,2021-SE16
ATE,2021,17,12,2021-SE17
ATE,2021,18,7,2021-SE18
ATE,2021,19,7,2021-SE19
ATE,2021,20,6,2021-SE20
ATE,2021,21,4,2021-SE21
ATE,2021,22,2,2021-SE22
ATE,2021,24,2,2021-SE24
ATE,2021,25,1,2021-SE25
ATE,2021,32,1,2021-SE32
ATE,2022,10,1,2022-SE10
ATE,2022,11,2,2022-SE11
ATE,2022,12,4,2022-SE12
ATE,2022,13,2,2022-SE13
ATE,2022,14,3,2022-SE14
ATE,2022,15,1,2022-SE15
ATE,2022,16,3,2022-SE16
ATE,2022,17,13,2022-SE17
ATE,2022,18,11,2022-SE18
ATE,2022,19,23,2022-SE19
ATE,2022,20,17,2022-SE20
ATE,2022,21,5,2022-SE21
ATE,2022,22,2,2022-SE22
ATE,2022,23,2,2022-SE23
ATE,2022,24,1,2022-SE24
ATE,2022,25,1,2022-SE25
ATE,2022,41,1,2022-SE41
ATE,2023,5,1,2023-SE05
ATE,2023,7,1,2023-SE07
ATE,2023,10,2,2023-SE10
ATE,2023,11,6,2023-SE11
ATE,2023,12,15,2023-SE12
ATE,2023,13,25,2023-SE13
ATE,2023,14,31,2023-SE14
ATE,2023,15,73,2023-SE15
ATE,2023,16,71,2023-SE16
ATE,2023,17,100,2023-SE17
ATE,2023,18,139,2023-SE18
ATE,2023,19,148,2023-SE19
ATE,2023,20,146,2023-SE20
ATE,2023,21,150,2023-SE21
ATE,2023,22,116,2023-SE22
ATE,2023,23,110,2023-SE23
ATE,2023,24,72,2023-SE24
ATE,2023,25,38,2023-SE25
ATE,2023,26,20,2023-SE26
ATE,2023,27,21,2023-SE27
ATE,2023,28,18,2023-SE28
ATE,2023,29,14,2023-SE29
ATE,2023,30,1,2023-SE30
ATE,2023,31,2,2023-SE31
ATE,2023,32,4,2023-SE32
ATE,2023,33,6,2023-SE33
ATE,2023,34,2,2023-SE34
ATE,2023,35,2,2023-SE35
ATE,2023,36,1,2023-SE36
ATE,2023,37,2,2023-SE37
ATE,2023,38,2,2023-SE38
ATE,2023,40,1,2023-SE40
